INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('036EG6XGHFJ822528-001', '036EG6XGHFJ822528', '1', 'Bioholding', 'user09', 81.07000000000001);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('U6AKQW00N22614671-002', 'U6AKQW00N22614671', '2', 'Plusstrip', 'user09', 203.75);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('U6AKQW00N22614671-003', 'U6AKQW00N22614671', '3', 'J-Texon', 'user09', 296.49);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('U6AKQW00N22614671-004', 'U6AKQW00N22614671', '4', 'Isdom', 'user09', 297.84);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('U6AKQW00N22614671-005', 'U6AKQW00N22614671', '5', 'Konmatfix', 'user09', 193.94);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('U8CPVV20LCB872591-001', 'U8CPVV20LCB872591', '1', 'Streethex', 'user09', 24.02);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('U8CPVV20LCB872591-002', 'U8CPVV20LCB872591', '2', 'Faxquote', 'user09', 53.08);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('UAITKQ7KMQN776987-001', 'UAITKQ7KMQN776987', '1', 'Donware', 'user09', 209.10999999999999);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('UAITKQ7KMQN776987-002', 'UAITKQ7KMQN776987', '2', 'Newex', 'user09', 311.65999999999997);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('UAITKQ7KMQN776987-003', 'UAITKQ7KMQN776987', '3', 'Ontomedia', 'user09', 51.16);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('UDK1102XNQ4362369-001', 'UDK1102XNQ4362369', '1', 'Konmatfix', 'user09', 325.45);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('UDK1102XNQ4362369-002', 'UDK1102XNQ4362369', '2', 'Stanredtax', 'user09', 327.48);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('UDOHJKQNZRU355125-001', 'UDOHJKQNZRU355125', '1', 'Konmatfix', 'user09', 610.2);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('UDOHJKQNZRU355125-002', 'UDOHJKQNZRU355125', '2', 'Doncon', 'user09', 140.01999999999998);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('UDOHJKQNZRU355125-003', 'UDOHJKQNZRU355125', '3', 'Stanredtax', 'user09', 85.49);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('UDOHJKQNZRU355125-004', 'UDOHJKQNZRU355125', '4', 'Newex', 'user09', 41.52);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('UU2VI1MPOCJ886472-001', 'UU2VI1MPOCJ886472', '1', 'Donware', 'user09', 78.53999999999999);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('UU2VI1MPOCJ886472-002', 'UU2VI1MPOCJ886472', '2', 'Bioholding', 'user09', 209.8);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('UVK0K4YAN4D361432-001', 'UVK0K4YAN4D361432', '1', 'Bioholding', 'user09', 357.74);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('UVK0K4YAN4D361432-002', 'UVK0K4YAN4D361432', '2', 'J-Texon', 'user09', 237.07);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('UYQXFHB268D227085-001', 'UYQXFHB268D227085', '1', 'Isdom', 'user09', 156.12);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('UYQXFHB268D227085-002', 'UYQXFHB268D227085', '2', 'Isdom', 'user09', 28.53);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('V08JG7APNII434369-001', 'V08JG7APNII434369', '1', 'Faxquote', 'user09', 62.67000000000001);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('V08JG7APNII434369-002', 'V08JG7APNII434369', '2', 'Ontomedia', 'user09', 63.56);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('V08JG7APNII434369-003', 'V08JG7APNII434369', '3', 'Donware', 'user09', 65.2);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('V08JG7APNII434369-004', 'V08JG7APNII434369', '4', 'Rundofase', 'user09', 8.75);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('V08JG7APNII434369-005', 'V08JG7APNII434369', '5', 'Newex', 'user09', 71.05);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('V73RJYYHEIT850422-001', 'V73RJYYHEIT850422', '1', 'Dontechi', 'user09', 206.05);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('V73RJYYHEIT850422-002', 'V73RJYYHEIT850422', '2', 'Faxquote', 'user09', 251.27);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('V73RJYYHEIT850422-003', 'V73RJYYHEIT850422', '3', 'Green-Plus', 'user09', 360.24);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('V73RJYYHEIT850422-004', 'V73RJYYHEIT850422', '4', 'Konmatfix', 'user09', 110.58);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VJUYVX0SHHT606044-001', 'VJUYVX0SHHT606044', '1', 'Stanredtax', 'user09', 3.87);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VJUYVX0SHHT606044-002', 'VJUYVX0SHHT606044', '2', 'Donquadtech', 'user09', 34.839999999999996);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VJUYVX0SHHT606044-003', 'VJUYVX0SHHT606044', '3', 'Newex', 'user09', 21.36);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VJUYVX0SHHT606044-004', 'VJUYVX0SHHT606044', '4', 'Green-Plus', 'user09', 55.309999999999995);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VLYZ0TBEDGM584853-001', 'VLYZ0TBEDGM584853', '1', 'Ontomedia', 'user09', 96.78);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VLYZ0TBEDGM584853-002', 'VLYZ0TBEDGM584853', '2', 'Doncon', 'user09', 200.51);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VLYZ0TBEDGM584853-003', 'VLYZ0TBEDGM584853', '3', 'Streethex', 'user09', 437.17);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VLYZ0TBEDGM584853-004', 'VLYZ0TBEDGM584853', '4', 'Xx-zobam', 'user09', 35.94);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VLYZ0TBEDGM584853-005', 'VLYZ0TBEDGM584853', '5', 'Plusstrip', 'user09', 38.88);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VOCIAMIZKKN350227-001', 'VOCIAMIZKKN350227', '1', 'Sumace', 'user09', 63.34);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VOCIAMIZKKN350227-002', 'VOCIAMIZKKN350227', '2', 'Yearin', 'user09', 44.86);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VOCIAMIZKKN350227-003', 'VOCIAMIZKKN350227', '3', 'Sumace', 'user09', 68.07);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VOCIAMIZKKN350227-004', 'VOCIAMIZKKN350227', '4', 'Streethex', 'user09', 47.75);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VPER1TKLOPC634179-001', 'VPER1TKLOPC634179', '1', 'Doncon', 'user09', 97.36000000000001);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VTJI8XXO2CO552773-001', 'VTJI8XXO2CO552773', '1', 'Bioholding', 'user09', 14.14);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VTJI8XXO2CO552773-002', 'VTJI8XXO2CO552773', '2', 'Sumace', 'user09', 313.41999999999996);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VTJI8XXO2CO552773-003', 'VTJI8XXO2CO552773', '3', 'Donquadtech', 'user09', 126.24);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VTVE6444244403193-001', 'VTVE6444244403193', '1', 'Xx-zobam', 'user09', 156.1);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VTVE6444244403193-002', 'VTVE6444244403193', '2', 'Xx-zobam', 'user09', 118.0);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VTVE6444244403193-003', 'VTVE6444244403193', '3', 'Konmatfix', 'user09', 57.739999999999995);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VTVE6444244403193-004', 'VTVE6444244403193', '4', 'Rundofase', 'user09', 66.24);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VTVE6444244403193-005', 'VTVE6444244403193', '5', 'Donquadtech', 'user09', 64.63);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VTVE6444244403193-006', 'VTVE6444244403193', '6', 'Scotfind', 'user09', 51.5);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VWWOX3PM6QD757820-001', 'VWWOX3PM6QD757820', '1', 'Stanredtax', 'user09', 36.980000000000004);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VWWOX3PM6QD757820-002', 'VWWOX3PM6QD757820', '2', 'Xx-zobam', 'user09', 99.93);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VWWOX3PM6QD757820-003', 'VWWOX3PM6QD757820', '3', 'Plusstrip', 'user09', 2.63);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VWWOX3PM6QD757820-004', 'VWWOX3PM6QD757820', '4', 'Isdom', 'user09', 74.56);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('VWWOX3PM6QD757820-005', 'VWWOX3PM6QD757820', '5', 'Doncon', 'user09', 78.56);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('W17V1HTH5IW129737-001', 'W17V1HTH5IW129737', '1', 'Scotfind', 'user09', 254.34999999999997);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('W17V1HTH5IW129737-002', 'W17V1HTH5IW129737', '2', 'Xx-zobam', 'user09', 49.22);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('W17V1HTH5IW129737-003', 'W17V1HTH5IW129737', '3', 'Scotfind', 'user09', 203.95);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('W17V1HTH5IW129737-004', 'W17V1HTH5IW129737', '4', 'Ontomedia', 'user09', 256.84000000000003);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('W17V1HTH5IW129737-005', 'W17V1HTH5IW129737', '5', 'Dontechi', 'user09', 300.43);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('W1R2THVZD6L234135-001', 'W1R2THVZD6L234135', '1', 'Streethex', 'user09', 97.47);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('W1R2THVZD6L234135-002', 'W1R2THVZD6L234135', '2', 'Isdom', 'user09', 4.72);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('W85FIU0UPWJ342063-001', 'W85FIU0UPWJ342063', '1', 'Donware', 'user09', 360.69);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('W85FIU0UPWJ342063-002', 'W85FIU0UPWJ342063', '2', 'Stanredtax', 'user09', 50.34);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('W85FIU0UPWJ342063-003', 'W85FIU0UPWJ342063', '3', 'Sumace', 'user09', 4.45);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('WGVK4P1UIPJ916959-001', 'WGVK4P1UIPJ916959', '1', 'Green-Plus', 'user09', 72.78);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('WGVK4P1UIPJ916959-002', 'WGVK4P1UIPJ916959', '2', 'Yearin', 'user09', 100.08999999999999);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('WGVK4P1UIPJ916959-003', 'WGVK4P1UIPJ916959', '3', 'Dontechi', 'user09', 76.13000000000001);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('WGVK4P1UIPJ916959-004', 'WGVK4P1UIPJ916959', '4', 'Konmatfix', 'user09', 19.98);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('WGVK4P1UIPJ916959-005', 'WGVK4P1UIPJ916959', '5', 'Streethex', 'user09', 164.92);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('WKNIUEPLNDU378894-001', 'WKNIUEPLNDU378894', '1', 'Dontechi', 'user09', 123.79);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('WKNIUEPLNDU378894-002', 'WKNIUEPLNDU378894', '2', 'Faxquote', 'user09', 284.07);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('WQGPTZ2HOU7481211-001', 'WQGPTZ2HOU7481211', '1', 'Sumace', 'user09', 219.56);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('WWMN8RWHPDM674733-001', 'WWMN8RWHPDM674733', '1', 'Faxquote', 'user09', 72.72);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('WWMN8RWHPDM674733-002', 'WWMN8RWHPDM674733', '2', 'Dontechi', 'user09', 373.0);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('WWMN8RWHPDM674733-003', 'WWMN8RWHPDM674733', '3', 'Green-Plus', 'user09', 100.97999999999999);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('XJMTKD21FUV756318-001', 'XJMTKD21FUV756318', '1', 'Dontechi', 'user09', 32.14);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('XJMTKD21FUV756318-002', 'XJMTKD21FUV756318', '2', 'Streethex', 'user09', 177.37);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('XNUNZXGY3NC711419-001', 'XNUNZXGY3NC711419', '1', 'Rundofase', 'user09', 97.99);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('XNUNZXGY3NC711419-002', 'XNUNZXGY3NC711419', '2', 'Green-Plus', 'user09', 34.18);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('XPBUWRX56F6412345-001', 'XPBUWRX56F6412345', '1', 'Rundofase', 'user09', 146.70999999999998);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('XPBUWRX56F6412345-002', 'XPBUWRX56F6412345', '2', 'Isdom', 'user09', 231.63);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('XPBUWRX56F6412345-003', 'XPBUWRX56F6412345', '3', 'J-Texon', 'user09', 210.60999999999999);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('XPBUWRX56F6412345-004', 'XPBUWRX56F6412345', '4', 'Ontomedia', 'user09', 3.85);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('XPBUWRX56F6412345-005', 'XPBUWRX56F6412345', '5', 'Doncon', 'user09', 118.68);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('XUYF42BKSWK479574-001', 'XUYF42BKSWK479574', '1', 'Scotfind', 'user09', 94.02);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('Y0E0QLEFDDC702405-001', 'Y0E0QLEFDDC702405', '1', 'Isdom', 'user09', 270.22);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('YA0EN8KRBAN266216-001', 'YA0EN8KRBAN266216', '1', 'Sumace', 'user09', 23.869999999999997);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('YA0EN8KRBAN266216-002', 'YA0EN8KRBAN266216', '2', 'Dontechi', 'user09', 63.44);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('YA0EN8KRBAN266216-003', 'YA0EN8KRBAN266216', '3', 'Newex', 'user09', 34.75);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('YA0EN8KRBAN266216-004', 'YA0EN8KRBAN266216', '4', 'Donware', 'user09', 8.87);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('YFV4PPW4SW8405660-001', 'YFV4PPW4SW8405660', '1', 'Faxquote', 'user09', 161.92);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('YFV4PPW4SW8405660-002', 'YFV4PPW4SW8405660', '2', 'J-Texon', 'user09', 275.82);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('YFV4PPW4SW8405660-003', 'YFV4PPW4SW8405660', '3', 'Scotfind', 'user09', 272.54);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('YFV4PPW4SW8405660-004', 'YFV4PPW4SW8405660', '4', 'Dontechi', 'user09', 153.12);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('YFV4PPW4SW8405660-005', 'YFV4PPW4SW8405660', '5', 'Xx-zobam', 'user09', 460.93);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('YIRV4C5U8MN581204-001', 'YIRV4C5U8MN581204', '1', 'Scotfind', 'user09', 511.31);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('YIRV4C5U8MN581204-002', 'YIRV4C5U8MN581204', '2', 'Dontechi', 'user09', 276.62);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('Z0405USEZKH796737-001', 'Z0405USEZKH796737', '1', 'Doncon', 'user09', 121.75);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('Z0405USEZKH796737-002', 'Z0405USEZKH796737', '2', 'Rundofase', 'user09', 59.65);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('Z0405USEZKH796737-003', 'Z0405USEZKH796737', '3', 'Plusstrip', 'user09', 110.6);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('Z0405USEZKH796737-004', 'Z0405USEZKH796737', '4', 'Donware', 'user09', 84.26);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('Z0405USEZKH796737-005', 'Z0405USEZKH796737', '5', 'Doncon', 'user09', 456.19);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('Z1QCG3DRQAX515930-001', 'Z1QCG3DRQAX515930', '1', 'Donware', 'user09', 8.76);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('Z1QCG3DRQAX515930-002', 'Z1QCG3DRQAX515930', '2', 'Dontechi', 'user09', 202.64999999999998);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('Z1QCG3DRQAX515930-003', 'Z1QCG3DRQAX515930', '3', 'Plusstrip', 'user09', 117.46);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('Z1QCG3DRQAX515930-004', 'Z1QCG3DRQAX515930', '4', 'J-Texon', 'user09', 67.17);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('Z8KJQAZ0L2C379316-001', 'Z8KJQAZ0L2C379316', '1', 'Dontechi', 'user09', 113.59);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('Z8KJQAZ0L2C379316-002', 'Z8KJQAZ0L2C379316', '2', 'Yearin', 'user09', 571.05);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('Z8KJQAZ0L2C379316-003', 'Z8KJQAZ0L2C379316', '3', 'Xx-zobam', 'user09', 324.19);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('Z8KJQAZ0L2C379316-004', 'Z8KJQAZ0L2C379316', '4', 'Streethex', 'user09', 553.38);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('Z8KJQAZ0L2C379316-005', 'Z8KJQAZ0L2C379316', '5', 'Donquadtech', 'user09', 165.97);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('ZBZRLDKTF22899385-001', 'ZBZRLDKTF22899385', '1', 'Doncon', 'user09', 589.72);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('ZBZRLDKTF22899385-002', 'ZBZRLDKTF22899385', '2', 'Rundofase', 'user09', 149.57999999999998);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('ZDNMEDH0CHN556637-001', 'ZDNMEDH0CHN556637', '1', 'Konmatfix', 'user09', 204.8);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('ZDNMEDH0CHN556637-002', 'ZDNMEDH0CHN556637', '2', 'Stanredtax', 'user09', 161.42);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('ZDNMEDH0CHN556637-003', 'ZDNMEDH0CHN556637', '3', 'Stanredtax', 'user09', 80.91);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('ZI36738ITE3999852-001', 'ZI36738ITE3999852', '1', 'Donware', 'user09', 520.02);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('ZIOB2UP8DA8102221-001', 'ZIOB2UP8DA8102221', '1', 'Ontomedia', 'user09', 80.14);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('ZIOB2UP8DA8102221-002', 'ZIOB2UP8DA8102221', '2', 'Ontomedia', 'user09', 151.9);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('ZMVRJH6HGUZ703892-001', 'ZMVRJH6HGUZ703892', '1', 'J-Texon', 'user09', 171.2);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('ZMVRJH6HGUZ703892-002', 'ZMVRJH6HGUZ703892', '2', 'J-Texon', 'user09', 177.38);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('ZO6LSHSSJHC695220-001', 'ZO6LSHSSJHC695220', '1', 'Stanredtax', 'user09', 23.05);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('ZO6LSHSSJHC695220-002', 'ZO6LSHSSJHC695220', '2', 'Bioholding', 'user09', 72.86000000000001);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('ZPSM0A6MZXM357384-001', 'ZPSM0A6MZXM357384', '1', 'J-Texon', 'user09', 56.67);
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0009', '036EG6XGHFJ822528-001', 'Front fascia and header panel', 'installed', '8.53', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0017', '036EG6XGHFJ822528-001', 'Front spoiler', 'installed', '72.54', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAED0030', '0O56VQ0TP1C342110-005', 'Door and bonnet', 'installed', '204.77', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAEW0033', '0SR7K3TGOVW149442-003', 'Glass', 'installed', '4.83', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEIS0081', '0SR7K3TGOVW149442-003', 'Ignition controller', 'installed', '27.24', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-ICS0161', '0SR7K3TGOVW149442-003', 'Seat cover', 'installed', '36.44', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-IFCAP0151', '0SR7K3TGOVW149442-004', 'Carpet and other floor material', 'installed', '5.61', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEESS0055', '1RMG763RUOZ482821-002', 'Battery box', 'installed', '74.74', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEIS0076', '1RMG763RUOZ482821-002', 'Distributor', 'installed', '34.03', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAES0112', '1RMG763RUOZ482821-002', 'IMA sensor', 'received', '25.38', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEWH0128', '1RMG763RUOZ482821-002', 'Air conditioning harness', 'installed', '55.92', '2');
